"Account Id","Account Owner","Account Owner Id","Account Name",Phone,Fax,Website,"Account Type",Employees,"Annual Revenue","Created By","Created By Id","Modified By","Modified By Id","Created Time","Modified Time","Billing Street","Shipping Street","Billing City","Shipping City","Billing State","Shipping State","Billing Code","Shipping Code","Billing Country","Shipping Country",Description,"Last Activity Time","Membership Expiration Date","Membership Level","Business Categories","Account Status","Membership Number","Political Action Committee",Weblink,"Member Since","Referred By"
zcrm_1624029000000096008,"Liz Debarros",zcrm_1624029000000085003,"10 Square Real Estate","(202) 641-5793",,www.10squarerealestate.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1718 Florida Ave NW","1718 Florida Ave NW",Washington,Washington,DC,DC,20009,20009,,,"Real Estate brokerage services for small to mid-size developers and specialized sales of affordable units.","2015-11-18 11:39:00",2016-01-31,"Non-Profit/Small Business/Government",Brokers,Active,DCBIA-10000,false,false,,
zcrm_1624029000000096009,"Liz Debarros",zcrm_1624029000000085003,"2GIP, LLC","(202) 528-3013",,www.2gipllc.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1515 Lawrence Street, NE","1515 Lawrence Street, NE",Washington,Washington,DC,DC,20017,20017,,,"Professional services frm","2015-11-18 11:39:00",2016-07-31,"Sole Proprieter/ Start-up",Consultants,Active,DCBIA-10001,false,false,,
zcrm_1624029000000096010,"Liz Debarros",zcrm_1624029000000085003,"4 Brothers Buy Houses","(202) 734-9112",,www.4brothersbuyhouses.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1201 15th Street, NW, Suite 440","1201 15th Street, NW, Suite 440",Washington,Washington,DC,DC,20005,20005,,,"Purchasing and renovating distressed 1-4 unit properties in DC metro area for re-sale or long term hold as rental","2015-11-18 11:39:00",2016-07-31,"Non-Profit/Small Business/Government","Suppliers & Misc. Services",Active,DCBIA-10002,false,false,,
zcrm_1624029000000096011,"Liz Debarros",zcrm_1624029000000085003,"A. Esteban & Company, Inc","(703) 532-6090",,www.esteban.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","701 West Broad Street","701 West Broad Street","Falls Church","Falls Church",VA,VA,22046,22046,,,"Digital Printing, CAD Plotting/Scanning; color printing, document management","2015-11-18 11:39:00",2016-12-31,Associate/Builder,"Marketing / Communications & Media",Active,DCBIA-10003,false,false,,
zcrm_1624029000000096012,"Liz Debarros",zcrm_1624029000000085003,"Abbott Development Group LLC","(202) 467-6734",,www.abbottdev.com/,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1725 DeSales St., NW, Suite 900","1725 DeSales St., NW, Suite 900",Washington,Washington,DC,DC,20036,20036,,,"Residential & Commercial Developer","2015-11-18 11:39:00",2014-10-31,"Non-Profit/Small Business/Government","Builders / Developers;Commercial Brokers",Inactive,DCBIA-10004,false,false,,
zcrm_1624029000000096013,"Liz Debarros",zcrm_1624029000000085003,"Abdo Development, LLC","(202) 265-9393",,www.abdo.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1416 P Street, NW","1416 P Street, NW",Washington,Washington,DC,DC,20005,20005,,,"Residential & Commercial Developer","2015-11-18 11:39:00",2016-07-31,Associate/Builder,"Builders / Developers",Active,DCBIA-10005,false,false,,
zcrm_1624029000000096014,"Liz Debarros",zcrm_1624029000000085003,"Adaoha Properties LLC","(202) 684-7644",,,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","12150 Annapolis Road, Suite 213","12150 Annapolis Road, Suite 213","Glenn Dale","Glenn Dale",MD,MD,20769,20769,,,"Real Estate Development","2015-11-18 11:39:00",2016-10-31,"Non-Profit/Small Business/Government","Builders / Developers",Active,DCBIA-10006,false,false,,
zcrm_1624029000000096015,"Liz Debarros",zcrm_1624029000000085003,"Advantage Environmental Consultants, LLC","(301) 776-0500",,www.aec-env.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","8610 Washington Boulevard, Suite 207","8610 Washington Boulevard, Suite 207",Jessup,Jessup,MD,MD,20794,20794,,,"Environmental Consulting: Phase  I ESAs, Subsurface Investigation,  Remediation, Asbestos Surveys Abatement Management, etc","2015-11-18 11:39:00",2015-01-31,Associate/Builder,Consultants,Inactive,DCBIA-10007,false,false,,
zcrm_1624029000000096016,"Liz Debarros",zcrm_1624029000000085003,"Advisory Real Estate Services, LLC","(202) 744-8840",,,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1814 Park Road, NW","1814 Park Road, NW",Washington,Washington,DC,DC,20010,20010,,,"Commercial Real Estate Advisory Services","2015-11-18 11:39:00",2014-09-30,"Non-Profit/Small Business/Government",Consultants,Inactive,DCBIA-10008,false,false,,
zcrm_1624029000000096017,"Liz Debarros",zcrm_1624029000000085003,"Aflac DC Metro","(202) 681-7742",,www.aflac.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 12:20:53","700 12th Street, NW","700 12th Street, NW",Washington,Washington,DC,DC,20005,20005,,,"Supplemental benefits and insurance company","2015-11-18 12:20:53",2016-01-31,"Non-Profit/Small Business/Government",Insurance,Active,DCBIA-10009,false,false,,
